2020-12-12,16:59,Saturday,HOLLAND EREDIVISIE,Groningen,RKC Waalwijk,1:0,2:0,1.9,PIN,OVER,Won,0.9
2020-12-12,17:36,Saturday,TURKEY SUPER LEAGUE,Ankaragucu,Torku Konyaspor,2:3,4:3,2.14,PIN,OVER,Won,1.14
2020-12-12,17:33,Saturday,AUSTRIA BUNDESLIGA,Sturm Graz,FC Admira Wacker Modling,2:0,3:0,2.126,P88,OVER,Won,1.13
2020-12-12,17:34,Saturday,FRANCE LIGUE 1,Marseille,AS Monaco,2:0,2:1,2.03,P88,OVER,Won,1.03
2020-12-12,17:59,Saturday,WALES PREMIER LEAGUE,Connahs Quay,The New Saints,2:0,2:0,1.961,PIN,OVER,Lost,-1
2020-12-12,19:01,Saturday,UKRAINE PREMIER LEAGUE,FC Rukh Vynnyky,Dnipro-1,3:0,4:1,2.21,PIN,OVER,Won,1.21
2020-12-12,19:10,Saturday,BELGIUM FIRST DIVISION A,KV Kortrijk,Oud-Heverlee Leuven,0:2,0:3,2.58,PIN,OVER,Won,1.58
2020-12-12,19:02,Saturday,BELGIUM FIRST DIVISION A,Cercle Brugge,Oostende,0:1,0:1,1.943,PIN,OVER,Lost,-1
2020-12-12,19:03,Saturday,*SPAIN LA LIGA,SD Huesca,Deportivo Alaves,1:0,1:0,2.25,PIN,OVER,Lost,-1
2020-12-12,19:04,Saturday,CZECH REPUBLIC FIRST LEAGUE,FK Jablonec,Viktoria Plzen,2:2,3:2,1.988,P88,OVER,Won,0.99
2020-12-12,19:04,Saturday,*ENGLISH PREMIER LEAGUE,Manchester United,Manchester City,0:0,0:0,1.85,SIN,UNDER,Won,0.85
2020-12-12,19:05,Saturday,*GERMANY BUNDESLIGA,Union Berlin,Bayern Munich,1:1,1:1,2.36,P88,UNDER,Won,1.36
2020-12-13,11:02,Sunday,ROMANIA LIGA 1,Academica Clinceni,Arges Pitesti,0:0,1:0,2.31,PIN,OVER,Won,1.31
2020-12-13,10:59,Sunday,AUSTRIA ERSTE LIGA,Austria Klagenfurt,FC Liefering,2:2,2:2,2.07,SIN,OVER,Lost,-1
2020-12-13,12:15,Sunday,TURKEY TFF FIRST LEAGUE,Altinordu,Akhisar Belediyespor,3:1,3:2,3.37,PIN,OVER,Won,2.37
2020-12-13,12:47,Sunday,HOLLAND EREDIVISIE,Vitesse Arnhem,Heerenveen,1:1,1:1,1.9,SIN,UNDER,Won,0.9
2020-12-13,13:30,Sunday,FRANCE LIGUE 1,Nice,Rennes,0:1,0:1,2.15,PIN,OVER,Lost,-1
2020-12-13,13:46,Sunday,GERMANY BUNDESLIGA 3,Saarbrucken,Bayern Munich II,1:2,1:2,3.46,PIN,OVER,Lost,-1
2020-12-13,13:32,Sunday,*ENGLISH PREMIER LEAGUE,Southampton,Sheffield United,2:0,3:0,2.102,P88,OVER,Won,1.1
2020-12-13,14:04,Sunday,GERMANY BUNDESLIGA 2,Nurnberg,Wurzburger Kickers,1:1,2:1,1.943,P88,UNDER,Lost,-1
2020-12-13,14:04,Sunday,GERMANY BUNDESLIGA 2,Eintracht Braunschweig,Osnabruck,0:2,0:2,2.1,PIN,OVER,Lost,-1
2020-12-13,14:05,Sunday,GERMANY BUNDESLIGA 2,St Pauli,Erzgebirge Aue,0:1,2:2,1.925,PIN,OVER,Won,0.93
2020-12-13,14:36,Sunday,TURKEY TFF FIRST LEAGUE,Tuzlaspor,Keciorengucu,1:0,1:0,2.124,P88,OVER,Lost,-1
2020-12-13,14:33,Sunday,DENMARK SUPER LEAGUE,AaB,Lyngby,2:2,3:2,1.871,P88,OVER,Won,0.87
2020-12-13,14:32,Sunday,*SPAIN LA LIGA,Real Sociedad,SD Eibar,1:1,1:1,2.26,PIN,OVER,Lost,-1
2020-12-13,14:31,Sunday,DENMARK SUPER LEAGUE,AC Horsens,Aarhus AGF,1:1,1:2,1.94,SIN,UNDER,Lost,-1
2020-12-13,15:05,Sunday,HOLLAND EREDIVISIE,Willem II,Sparta Rotterdam,0:3,1:3,1.98,PIN,OVER,Won,0.98
2020-12-13,14:59,Sunday,AUSTRIA BUNDESLIGA,Wolfsberger AC,Austria Vienna,2:2,3:2,2.01,SIN,OVER,Won,1.01
2020-12-13,15:30,Sunday,FRANCE LIGUE 1,Lorient,Nimes Olympique,2:0,3:0,2.02,PIN,OVER,Won,1.02
2020-12-13,15:35,Sunday,*ITALY SERIE A,Atalanta,Fiorentina,3:0,3:0,2.01,PIN,OVER,Lost,-1
2020-12-13,15:33,Sunday,FRANCE LIGUE 1,Nantes,Dijon,1:1,1:1,1.8,SIN,UNDER,Won,0.8
2020-12-13,15:47,Sunday,*ENGLISH PREMIER LEAGUE,Crystal Palace,Tottenham Hotspur,0:1,1:1,2.12,SIN,OVER,Won,1.12
2020-12-13,16:45,Sunday,BELGIUM FIRST DIVISION B,Seraing United,RWD Molenbeek,0:1,0:1,3.61,PIN,OVER,Lost,-1
2020-12-13,16:34,Sunday,UKRAINE PREMIER LEAGUE,Desna,Illychivets Mariupol,2:0,2:0,1.892,PIN,OVER,Lost,-1
2020-12-13,16:45,Sunday,SWITZERLAND SUPER LEAGUE,Lausanne,St Gallen,0:1,0:1,3.6,PIN,OVER,Lost,-1
2020-12-13,16:33,Sunday,SWITZERLAND SUPER LEAGUE,Lugano,FC Zurich,0:1,0:1,2,PIN,OVER,Lost,-1
2020-12-13,16:34,Sunday,DENMARK SUPER LEAGUE,FC Nordsjaelland,FC Copenhagen,0:0,0:1,2.16,P88,UNDER,Lost,-1
2020-12-13,16:32,Sunday,CZECH REPUBLIC FIRST LEAGUE,FC Slovacko,Sparta Prague,1:1,1:2,2.282,P88,OVER,Won,1.28
2020-12-13,16:49,Sunday,*SPAIN LA LIGA,Real Betis,Villarreal,1:1,1:1,1.84,SIN,UNDER,Won,0.84
2020-12-13,17:45,Sunday,TURKEY TFF FIRST LEAGUE,Giresunspor,Adana Demirspor,1:0,2:0,3.47,PIN,OVER,Won,2.47
2020-12-13,17:47,Sunday,ROMANIA LIGA 1,Hermannstadt Sibiu,CS Voluntari,2:2,3:2,2.09,SIN,OVER,Won,1.09
2020-12-13,17:31,Sunday,FRANCE LIGUE 1,Lille,Bordeaux,2:1,2:1,2.164,P88,OVER,Lost,-1
2020-12-13,18:38,Sunday,DENMARK SUPER LEAGUE,Brondby IF,Sonderjyske,1:1,2:1,1.851,P88,UNDER,Lost,-1
2020-12-13,19:04,Sunday,CZECH REPUBLIC FIRST LEAGUE,Slavia Prague,Slovan Liberec,2:0,3:0,2.04,PIN,OVER,Won,1.04
2020-12-13,19:03,Sunday,*SPAIN LA LIGA,Elche,Granada CF,0:1,0:1,2.149,P88,OVER,Lost,-1
2020-12-14,14:44,Monday,TURKEY TFF FIRST LEAGUE,Menemen Belediyespor,Istanbulspor Region,1:1,1:2,4.39,PIN,OVER,Won,3.39
2020-12-14,17:33,Monday,TURKEY SUPER LEAGUE,Sivasspor,Antalyaspor,0:0,0:0,2.517,P88,OVER,Lost,-1
2020-12-14,18:34,Monday,ROMANIA LIGA 1,UTA Arad,CS Universitatea Craiova,1:2,1:2,2.201,P88,OVER,Lost,-1
2020-12-14,19:05,Monday,GREECE SUPER LEAGUE 1,Asteras Tripolis,Atromitos Athens,1:0,2:0,2.54,P88,OVER,Won,1.54
2020-12-14,19:34,Monday,DENMARK SUPER LEAGUE,OB Odense BK,FC Midtjylland,1:1,1:1,1.874,P88,UNDER,Won,0.87
2020-12-15,14:32,Tuesday,CZECH REPUBLIC FIRST LEAGUE,MFK Karvina,FK Jablonec,0:1,2:2,2.118,P88,OVER,Won,1.12
2020-12-15,14:35,Tuesday,CZECH REPUBLIC FIRST LEAGUE,Mlada Boleslav,Banik Ostrava,1:2,1:3,2.223,P88,OVER,Won,1.22
2020-12-15,15:01,Tuesday,GEORGIA EROVNULI LIGA,Chikhura Sachkhere,FC Samgurali Tskaltubo,0:0,0:2,2.54,PIN,OVER,Won,1.54
2020-12-15,17:36,Tuesday,TURKEY TFF FIRST LEAGUE,Balikesirspor,Samsunspor,1:2,1:3,2.108,P88,OVER,Won,1.11
2020-12-15,18:19,Tuesday,ROMANIA LIGA 1,Astra Giurgiu,Gaz Metan Medias,3:0,3:0,2.19,PIN,OVER,Lost,-1
2020-12-15,19:10,Tuesday,*GERMANY BUNDESLIGA,Eintracht Frankfurt,Borussia Monchengladbach,3:1,3:3,2.61,PIN,OVER,Won,1.61
2020-12-15,19:02,Tuesday,GERMANY BUNDESLIGA 2,SpVgg Greuther Furth,SV Darmstadt 98,0:3,0:4,1.97,PIN,OVER,Won,0.97
2020-12-15,19:03,Tuesday,GERMANY BUNDESLIGA 2,Hamburger SV,SV Sandhausen,2:0,4:0,1.884,PIN,OVER,Won,0.88
2020-12-15,19:04,Tuesday,GERMANY BUNDESLIGA 2,Hannover,Bochum,2:0,2:0,1.74,SIN,OVER,Lost,-1
2020-12-15,19:31,Tuesday,GERMANY BUNDESLIGA 3,SV ATA Spor Munchen,Hallescher,0:3,0:3,1.89,SIN,OVER,Lost,-1
2020-12-15,20:35,Tuesday,SWITZERLAND CHALLENGE LEAGUE,SC Kriens,Aarau,1:2,1:3,1.99,PIN,OVER,Won,0.99
2020-12-15,20:31,Tuesday,SWITZERLAND CHALLENGE LEAGUE,Stade Lausanne-Ouchy,Winterthur,1:0,1:1,1.92,SIN,OVER,Won,0.92
2020-12-15,20:44,Tuesday,SWITZERLAND CHALLENGE LEAGUE,Grasshoppers Zurich,Chiasso,1:1,2:1,4.47,PIN,OVER,Won,3.47
2020-12-15,21:03,Tuesday,*GERMANY BUNDESLIGA,Werder Bremen,Borussia Dortmund,1:1,1:2,1.97,PIN,UNDER,Lost,-1
2020-12-15,21:31,Tuesday,*ITALY SERIE A,Benevento,Lazio,1:1,1:1,4.01,PIN,OVER,Lost,-1
2020-12-15,21:18,Tuesday,ENGLISH CHAMPIONSHIP,Bristol City,Millwall,0:2,0:2,2.36,PIN,OVER,Lost,-1
2020-12-15,21:18,Tuesday,ENGLISH CHAMPIONSHIP,Barnsley,Preston,1:1,2:1,2.56,SIN,OVER,Won,1.56
2020-12-15,21:31,Tuesday,*ENGLISH PREMIER LEAGUE,Manchester City,West Bromwich Albion,1:1,1:1,2.47,SIN,UNDER,Won,1.47
2020-12-15,21:06,Tuesday,*GERMANY BUNDESLIGA,Hertha Berlin,Mainz 05,0:0,0:0,2.293,P88,OVER,Lost,-1
2020-12-15,21:22,Tuesday,ENGLISH CHAMPIONSHIP,Nottingham Forest,Sheffield Wednesday,1:0,2:0,2.338,P88,OVER,Won,1.34
2020-12-16,14:33,Wednesday,CZECH REPUBLIC FIRST LEAGUE,FC Zbrojovka Brno,FC Slovacko,0:0,2:1,2.295,P88,OVER,Won,1.29
2020-12-16,14:31,Wednesday,ROMANIA LIGA 1,FC Politehnica Iasi,Academica Clinceni,0:0,0:0,2.36,PIN,OVER,Lost,-1
2020-12-16,16:32,Wednesday,CZECH REPUBLIC FIRST LEAGUE,Sparta Prague,Pardubice,1:0,2:0,1.992,P88,OVER,Won,0.99
2020-12-16,16:34,Wednesday,ROMANIA LIGA 1,SCM Argesul Pitesti,Hermannstadt,1:2,2:2,2.14,SIN,OVER,Won,1.14
2020-12-16,18:47,Wednesday,SWITZERLAND SUPER LEAGUE,Luzern,FC Zurich,0:0,0:0,1.949,P88,UNDER,Won,0.95
2020-12-16,19:05,Wednesday,ENGLISH CHAMPIONSHIP,Derby County,Swansea City,2:0,2:0,2.168,P88,OVER,Lost,-1
2020-12-16,19:05,Wednesday,ROMANIA LIGA 1,SC FC Voluntari SA,FC Chindia Targoviste,0:2,0:2,2.27,PIN,OVER,Lost,-1
2020-12-16,19:02,Wednesday,GERMANY BUNDESLIGA 2,Holstein Kiel,Nurnberg,0:0,1:0,2.335,P88,OVER,Won,1.33
2020-12-16,19:06,Wednesday,GERMANY BUNDESLIGA 2,Fortuna Dusseldorf,Osnabruck,1:0,3:0,2.135,P88,OVER,Won,1.13
2020-12-16,19:02,Wednesday,*GERMANY BUNDESLIGA,Schalke 04,Freiburg,0:2,0:2,2.01,PIN,OVER,Lost,-1
2020-12-16,19:04,Wednesday,*ITALY SERIE A,Juventus,Atalanta BC,1:1,1:1,2.06,SIN,UNDER,Won,1.06
2020-12-16,19:05,Wednesday,GREECE SUPER LEAGUE 1,AEK Athens,Olympiakos,0:1,1:1,2.03,SIN,OVER,Won,1.03
2020-12-16,19:31,Wednesday,FRANCE LIGUE 1,Montpellier HSC,Metz,0:1,0:2,2.03,SIN,OVER,Won,1.03
2020-12-16,19:32,Wednesday,FRANCE LIGUE 1,Dijon,Lille,0:1,0:2,2.25,SIN,OVER,Won,1.25
2020-12-16,19:33,Wednesday,GERMANY BUNDESLIGA 3,Viktoria Koln,Uerdingen,0:2,0:2,2.09,SIN,OVER,Lost,-1
2020-12-16,19:33,Wednesday,GERMANY BUNDESLIGA 3,SV Meppen,FSV Zwickau,0:2,1:2,2.07,SIN,OVER,Won,1.07
2020-12-16,19:34,Wednesday,GERMANY BUNDESLIGA 3,Bayern Munich II,Duisburg,1:1,1:1,2.17,SIN,UNDER,Won,1.17
2020-12-16,19:32,Wednesday,FRANCE LIGUE 1,Angers SCO,Strasbourg,0:0,0:2,2.4,SIN,OVER,Won,1.4
2020-12-16,19:31,Wednesday,GERMANY BUNDESLIGA 3,Ingolstadt,Hansa Rostock,1:0,1:0,2.2,SIN,OVER,Lost,-1
2020-12-16,19:31,Wednesday,*ENGLISH PREMIER LEAGUE,Leeds United,Newcastle United,2:2,5:2,2.26,SIN,UNDER,Lost,-1
2020-12-16,20:32,Wednesday,ENGLISH CHAMPIONSHIP,Cardiff City,Birmingham City,1:2,3:2,2.23,SIN,OVER,Won,1.23
